['5163', 2]
['5164', 2]
['5165', 2]
['5166', 2]
['5167', 2]
['5168', 2]
['5169', 2]
['5170', 1]
['5171', 2]
['5172', 2]
['5173', 0]
['5174', 1]
['5175', 2]
['5176', 2]
['5177', 2]
['5178', 2]
['5179', 2]
['5180', 2]
['5181', 2]
['5182', 2]
['5183', 3]
['5184', 2]
['5185', 2]
['5186', 4]
['5187', 3]
['5188', 4]
['5189', 3]
['5190', 3]
['5191', 3]
['5192', 4]
['5193', 3]
['5194', 4]
['5195', 4]
['5196', 3]
['5197', 2]
['5198', 2]
['5199', 2]
['5200', 1]
['5201', 2]
['5202', 2]
['5203', 2]
['5204', 2]
['5205', 2]
['5206', 2]
['5207', 2]
['5208', 2]
['5209', 2]
['5210', 2]
['5211', 1]
['5212', 2]
['5213', 0]
['5214', 2]
['5215', 3]
['5216', 3]
['5217', 2]
['5218', 4]
['5219', 3]
['5220', 3]
['5221', 3]
['5222', 3]
['5223', 1]
['5224', 0]
['5225', 2]
['5226', 2]
['5227', 3]
['5228', 2]
['5229', 3]
['5230', 2]
['5231', 2]
['5232', 2]
['5233', 1]
['5234', 1]
['5235', 2]
['5236', 3]
['5237', 2]
['5238', 2]
['5239', 3]
['5240', 1]
['5241', 2]
['5242', 3]
['5243', 2]
['5244', 1]
['5245', 3]
['5246', 2]
['5247', 4]
['5248', 2]
['5249', 2]
['5250', 2]
['5251', 2]
['5252', 3]
['5253', 3]
['5254', 3]
['5255', 4]
['5256', 2]
['5257', 2]
['5258', 2]
['5259', 2]
['5260', 2]
['5261', 2]
['5262', 2]
