['5663', 2]
['5664', 2]
['5665', 2]
['5666', 2]
['5667', 2]
['5668', 2]
['5669', 3]
['5670', 2]
['5671', 3]
['5672', 4]
['5673', 4]
['5674', 5]
['5675', 4]
['5676', 3]
['5677', 3]
['5678', 3]
['5679', 2]
['5680', 4]
['5681', 2]
['5682', 4]
['5683', 2]
['5684', 2]
['5685', 3]
['5686', 2]
['5687', 4]
['5688', 4]
['5689', 3]
['5690', 3]
['5691', 3]
['5692', 4]
['5693', 4]
['5694', 3]
['5695', 2]
['5696', 2]
['5697', 3]
['5698', 2]
['5699', 3]
['5700', 2]
['5701', 6]
['5702', 3]
['5703', 3]
['5704', 1]
['5705', 3]
['5706', 4]
['5707', 4]
['5708', 3]
['5709', 3]
['5710', 1]
['5711', 3]
['5712', 1]
['5713', 2]
['5714', 4]
['5715', 2]
['5716', 2]
['5717', 2]
['5718', 3]
['5719', 3]
['5720', 2]
['5721', 1]
['5722', 3]
['5723', 3]
['5724', 2]
['5725', 2]
['5726', 2]
['5727', 2]
['5728', 2]
['5729', 1]
['5730', 2]
['5731', 3]
['5732', 3]
['5733', 2]
['5734', 2]
['5735', 2]
['5736', 2]
['5737', 3]
['5738', 2]
['5739', 2]
['5740', 2]
['5741', 2]
['5742', 4]
['5743', 3]
['5744', 2]
['5745', 1]
['5746', 4]
['5747', 2]
['5748', 2]
['5749', 2]
['5750', 2]
['5751', 2]
['5752', 2]
['5753', 2]
['5754', 2]
['5755', 2]
['5756', 2]
['5757', 2]
['5758', 2]
['5759', 1]
['5760', 3]
['5761', 2]
['5762', 2]
['5763', 2]
['5764', 2]
['5765', 3]
['5766', 2]
['5767', 3]
['5768', 2]
['5769', 2]
['5770', 3]
['5771', 2]
['5772', 3]
['5773', 3]
['5774', 4]
['5775', 4]
['5776', 3]
['5777', 4]
['5778', 2]
['5779', 2]
['5780', 2]
['5781', 2]
['5782', 2]
['5783', 2]
['5784', 2]
['5785', 2]
['5786', 2]
['5787', 4]
['5788', 2]
['5789', 2]
['5790', 3]
['5791', 3]
['5792', 2]
['5793', 1]
['5794', 2]
['5795', 1]
['5796', 3]
['5797', 0]
['5798', 2]
['5799', 2]
['5800', 1]
['5801', 2]
['5802', 2]
['5803', 2]
['5804', 4]
['5805', 3]
['5806', 3]
['5807', 3]
['5808', 2]
['5809', 2]
['5810', 2]
['5811', 2]
['5812', 4]
['5813', 2]
['5814', 2]
['5815', 2]
['5816', 2]
['5817', 5]
['5818', 4]
['5819', 3]
['5820', 2]
['5821', 3]
['5822', 2]
['5823', 2]
['5824', 2]
['5825', 2]
['5826', 3]
['5827', 0]
['5828', 2]
['5829', 2]
['5830', 2]
['5831', 3]
['5832', 2]
['5833', 3]
['5834', 2]
['5835', 2]
['5836', 2]
['5837', 2]
['5838', 2]
['5839', 2]
['5840', 2]
['5841', 2]
['5842', 2]
['5843', 2]
['5844', 2]
['5845', 2]
['5846', 2]
['5847', 2]
['5848', 2]
['5849', 2]
['5850', 2]
['5851', 0]
['5852', 2]
['5853', 0]
['5854', 2]
['5855', 2]
['5856', 2]
['5857', 2]
['5858', 2]
['5859', 3]
['5860', 2]
['5861', 2]
['5862', 2]
