EmbeddedDomain,IPAdress,NumberOfDotsInURL,SuspiciousURL,NumberOfSensitiveWordsInURL,OutOfPositionTopLevelDomain,BadForms,BadActionFields,NonMatchingURLs,OutOfPositionBrandName,WebPageSize,AgeOfDomain,VirusTotalDomainReputation,XForceDomainReputation,PageRank,Label
0,0,2,0,0,0,0,0,0,0,449543,0,1,0,5,1
0,0,2,0,0,0,0,0,-1,-1,213,0,0,-1,2,1
0,0,3,1,0,0,0,0,1,0,10307,0,10,-1,0,1
0,0,2,0,1,0,0,0,1,0,6099,0,0,0,0,1
0,0,3,1,0,0,0,0,1,0,126,0,13,-1,0,1
0,0,2,0,1,0,0,0,-1,-1,7286,0,10,-1,2,1
0,0,2,1,0,0,0,0,0,0,69531,0,8,-1,2,1
0,0,2,0,0,0,0,0,1,0,35796,0,13,1,0,1
0,0,1,0,0,0,0,0,-1,0,477,1,13,1,0,1
0,0,4,1,0,0,0,0,1,0,9255,0,10,0,2,1
0,0,4,1,0,1,0,0,-1,0,33523,0,4,-1,2,1
0,0,2,1,0,0,0,0,1,0,27186,0,10,-1,2,1
0,0,2,1,0,0,0,0,0,0,92314,0,11,-1,0,1
0,0,2,0,0,0,0,0,-1,-1,11043,0,1,0,2,1
0,0,3,1,0,0,0,0,-1,-1,7461,0,5,-1,2,1
0,0,2,1,0,0,-1,-1,1,0,118262,0,0,0,8,1
0,0,2,1,0,0,0,0,0,0,45152,0,0,0,8,1
0,0,2,0,0,0,0,0,0,0,457321,0,1,0,5,1
0,0,2,1,0,0,-1,-1,1,0,118069,0,0,0,8,1
0,0,2,1,0,0,0,0,-1,0,323,0,0,-1,4,1
0,0,1,0,0,0,0,0,1,0,3742,1,17,1,0,1
0,0,1,0,0,0,0,0,1,0,3742,1,17,1,0,1
0,0,1,0,0,0,0,0,1,0,3456,0,0,0,7,1
0,0,3,1,0,1,0,0,-1,0,323,0,2,-1,2,1
0,0,2,1,0,0,0,0,-1,-1,579,0,10,-1,0,1
0,0,3,1,0,1,0,0,-1,0,323,0,13,-1,1,1
0,0,2,0,0,0,-1,-1,1,0,118313,0,0,0,8,1
0,0,1,0,0,0,0,0,1,0,78766,1,13,1,0,1
0,0,1,0,0,0,0,0,0,0,6332,0,1,-1,6,1
0,0,2,0,0,0,-1,-1,1,0,118342,0,0,0,8,1
0,0,1,0,0,0,0,0,1,0,3456,0,0,0,7,1
0,0,1,0,0,0,0,0,1,0,3456,0,0,0,7,1
0,0,2,0,0,0,0,0,0,0,453222,0,1,0,5,1
0,0,1,0,0,0,0,0,-1,-1,7397,1,13,1,0,1
0,0,2,0,0,0,0,0,-1,-1,165,0,11,1,0,1
0,0,1,0,0,0,0,0,1,0,25238,1,2,1,0,1
0,0,1,1,0,0,0,0,1,0,1845,1,22,1,0,1
0,0,2,0,0,0,0,0,1,0,2521,0,16,1,0,1
0,0,2,0,0,0,0,0,0,0,23032,0,16,1,0,1
0,0,2,1,0,0,0,0,1,0,21994,0,14,1,0,1
0,0,2,1,0,0,0,0,1,0,22446,0,17,1,0,1
0,0,2,0,0,0,0,0,0,0,21395,0,18,1,0,1
0,0,2,1,0,0,0,0,1,0,21265,0,16,1,0,1
0,0,2,1,1,0,0,0,-1,0,761,0,15,1,0,1
0,0,2,1,1,0,0,0,-1,0,761,0,13,1,0,1
0,0,2,1,0,0,0,0,-1,0,761,0,15,1,0,1
0,0,2,1,0,0,0,0,-1,0,761,0,14,1,0,1
0,0,4,1,0,0,0,0,-1,-1,2036381,0,0,0,0,1
0,0,8,0,1,0,0,0,-1,-1,7413,0,11,-1,0,1
0,0,5,1,2,0,-1,-1,1,0,33556,0,8,-1,2,1
0,0,2,1,0,0,0,0,1,0,42102,0,11,0,0,1
0,0,1,1,0,0,0,0,1,0,47092,1,17,1,0,1
0,0,2,0,0,0,0,0,1,0,32268,0,6,-1,2,1
0,0,5,0,0,0,0,0,1,0,8436,0,6,0,0,1
0,0,3,1,0,0,0,0,1,0,6743,0,16,1,0,1
0,0,3,1,0,0,0,0,1,0,6743,0,18,1,0,1
0,0,1,1,0,0,0,0,1,0,290501,1,13,-1,0,1
0,0,3,0,0,0,0,0,1,0,107840,0,1,0,0,1
0,0,1,0,0,0,0,0,1,0,3742,1,16,-1,0,1
0,0,3,1,0,0,0,0,1,0,3742,0,13,1,0,1
0,0,3,0,0,0,0,0,-1,-1,691576,0,5,0,2,1
0,0,3,0,0,0,0,0,-1,-1,316347,0,13,1,0,1
0,0,1,0,0,0,0,0,1,0,8733,0,0,-1,4,1
0,0,2,1,0,0,0,0,-1,-1,3946,0,16,1,0,1
0,0,2,0,0,0,0,0,1,0,8826,0,17,0,0,1
0,0,2,0,0,0,0,0,1,0,130046,0,13,1,0,1
0,0,2,0,0,0,0,0,1,0,110531,0,13,1,0,1
0,0,1,1,0,0,0,0,-1,0,3549,1,20,1,0,1
0,0,3,0,0,1,0,0,-1,0,349,0,4,-1,0,1
0,0,3,1,0,0,0,0,-1,0,359,0,0,-1,0,1
0,0,1,1,0,0,0,0,-1,0,3557,1,19,1,0,1
0,0,1,0,0,0,0,0,-1,0,728,0,1,0,6,1
0,0,3,1,0,0,0,0,1,0,6594,0,17,1,0,1
0,0,3,1,0,0,0,0,-1,-1,262,0,10,-1,0,1
0,0,4,0,0,0,0,0,0,0,103,0,2,0,0,1
0,0,2,1,0,0,0,0,0,0,53375,0,0,0,8,1
0,0,2,1,0,0,-1,-1,1,0,118242,0,0,0,8,1
0,0,2,0,0,0,-1,-1,1,0,118339,0,0,0,8,1
0,0,1,1,0,0,0,0,1,0,61156,0,3,0,4,1
0,0,2,0,0,0,0,0,0,0,449549,0,1,0,5,1
0,0,1,0,0,0,0,0,1,0,449549,0,3,1,5,1
0,0,1,0,0,0,0,0,1,0,449443,0,3,1,5,1
0,0,2,0,0,0,0,0,0,0,449443,0,1,0,5,1
0,0,2,0,0,0,0,0,0,0,44400,0,0,0,8,1
0,0,1,0,1,0,0,0,1,0,5037,0,0,-1,4,1
0,0,2,1,0,0,0,0,0,0,9755,0,3,0,0,1
0,0,2,0,0,0,-1,-1,1,0,119433,0,0,0,8,1
0,0,2,0,0,0,-1,-1,1,0,118346,0,0,0,8,1
0,0,8,0,1,0,0,0,-1,-1,7413,0,11,-1,0,1
0,0,6,1,0,0,0,0,-1,0,167,0,-1,0,0,1
0,0,2,0,0,0,0,0,1,0,19876,1,18,1,0,1
0,0,3,0,0,0,0,0,-1,-1,190,0,2,0,2,1
0,0,3,1,0,1,0,0,1,0,102,0,5,-1,2,1
0,0,3,1,0,0,0,0,1,0,3742,0,16,1,0,1
0,0,1,0,0,0,0,0,1,0,449447,0,3,1,5,1
0,0,2,0,0,0,0,0,0,0,449447,0,1,0,5,1
0,0,2,1,0,0,0,0,0,0,44899,0,0,0,8,1
0,0,2,0,0,0,0,0,0,0,9901,0,2,0,4,1
0,0,1,0,0,0,0,0,1,0,117,0,15,1,0,1
0,0,1,0,0,0,0,0,1,0,42982,0,0,1,5,1
0,0,5,0,1,0,0,0,-1,-1,265,0,12,-1,0,1
0,0,3,0,0,0,0,0,-1,0,32485,0,1,0,0,1
0,0,3,0,0,0,0,0,-1,-1,7421,0,4,0,0,1
0,0,1,0,0,0,0,0,1,0,5622,1,13,1,0,1
0,0,1,1,0,0,0,0,1,0,65401,1,13,1,0,1
0,0,1,1,0,0,0,0,1,0,65401,1,14,1,0,1
0,0,1,0,0,0,0,0,0,0,103363,0,13,1,0,1
0,0,2,1,0,0,0,0,1,0,276016,0,15,-1,0,1
0,0,1,0,0,0,0,0,1,0,3456,0,0,0,7,1
0,0,3,0,0,0,0,0,-1,0,832,0,14,-1,0,1
0,0,2,1,0,0,0,0,1,0,1649,0,11,1,0,1
0,0,2,0,0,0,0,0,-1,-1,7451,0,16,1,0,1
0,0,1,0,0,0,0,0,1,0,13235,0,0,-1,2,1
0,0,1,0,0,0,0,0,1,0,13298,0,2,-1,8,1
